attribute,value,n,recall,precision,gap_from_overall_recall
gender,-0.7321368079502323,564,0.8188,0.7847,0.0121
gender,1.3658649437387331,321,0.8425,0.7736,-0.0115
scholarship_holder,-0.5700630847800775,654,0.8549,0.7842,-0.0239
scholarship_holder,1.7541918196400772,231,0.6207,0.72,0.2103
displaced,-1.092725197430065,385,0.8662,0.7834,-0.0352
displaced,0.915143168979592,500,0.7958,0.774,0.0352
debtor,-0.3634800164092309,795,0.7974,0.7708,0.0336
debtor,2.751182884492145,90,0.9808,0.8095,-0.1498
tuition_fees_up_to_date,-2.747418639149112,114,0.9898,0.9065,-0.1588
tuition_fees_up_to_date,0.36397802131447454,771,0.7473,0.7092,0.0837
